LIST,NUMBER,COUNTRY,REGION,DYNASTY,DENOMINATION,DATE,MINTMARK,MINT,OBVERSE,REVERSE,EDGE,MATERIAL,DIAMETER,WEIGHT,ACTUAL METAL WEIGHT,COMMENT #1,CATALOG #,COMMENT #2,GRADE,WHOLESALE,PRICE,CATEGORY,SUBCATEGORY,empty,QUANTITY,UNIT COST,TOTAL COST,QUANTITY SOLD,HOLD #1,HOLD #2,SOURCE,DATE PURCHASED,PICTURE,DATE SOLD,COMMENT #3,COMMENT #4,COMMENT #5,CONSIGNMENT
261,177,"EXTRATERRESTRIAL, ","Morocco, ",,"meteorite, ",,,,,,,"magnetic, ","57x40x39mm, ","154g, ",,,,,,,$108.00 ,,,,1,$101.00 ,$101.00 ,,,,,,extra-moroc-5.jpg,,,,,
261,178,"EXTRATERRESTRIAL, ","Morocco, ",,"meteorite, ",,,,,,,"magnetic, ","52x29x26mm, ","58g, ",,,,,,,$81.00 ,,,,1,$74.00 ,$74.00 ,,,,,,extra-moroc-6.jpg,,,,,
125,6723,"EXTRATERRESTRIAL, ","Morocco, ",,"meteorite, ",,,,,"looks vaguely like the Rock of Gibraltar, ",,"magnetic, ","~170x110x105mm (6.75x4.25x4"", ","3064g, ",,,,,,,"$2,375.00 ",,,,1,"$2,055.00 ","$2,055.00 ",,,,,,extra-moroc-9.jpg,,,,,
125,6724,"EXTRATERRESTRIAL, ","Morocco, ",,"meteorite, ",,,,,"looks like a triangular handaxe, ",,"magnetic, ","122x97x35mm, ","546g, ",,,,,"2 tone from how it lay half buried, lot of personality, ",,$380.00 ,,,,1,$325.00 ,$325.00 ,,,,,,extra-moroc-10.jpg,,,,,
175,238,"EXTRATERRESTRIAL, ","Morocco, ",,"meteorite, ",,,,,,,"magnetic, ","63x80x32mm, ","303.9g, ",,,,,,,$191.00 ,,,,1,$172.00 ,$172.00 ,,,,,,extra-moroc-12.jpg,,,,,
292,9100,"EXTRATERRESTRIAL, ","Morocco, ",,"meteorite, ",,,,"ferritic chondrite, ","cut section, ",,"magnetic, ","27x15x5mm, ","13.6g, ",,,,"nice looking crystal structure, ",,,$36.00 ,,,,1,$34.00 ,$34.00 ,,,,,,extra-waf-1.jpg,,,,,
292,9101,"EXTRATERRESTRIAL, ","Morocco, ",,"meteorite,  ",,,,"ferritic chondrite, ",,,"magnetic, ","29x29x10mm, ","15.5g, ",,,,,,,$15.00 ,,,,1,$13.00 ,$13.00 ,,,,,,extra-waf-2.jpg,,,,,
292,9102,"EXTRATERRESTRIAL, ","Morocco, ",,"meteorite,  ",,,,"ferritic chondrite, ",,,"magnetic, ","30x25x8mm triangular, ","9.8g, ",,,,,,,$15.00 ,,,,1,$13.00 ,$13.00 ,,,,,,extra-waf-3.jpg,,,,,
292,9104,"EXTRATERRESTRIAL, ","Morocco, ",,"meteorite,  ",,,,"ferritic chondrite, ",,,"magnetic, ","22x15x8mm, ","3.6g, ",,,,,,,$12.00 ,,,,1,$10.50 ,$10.50 ,,,,,,extra-waf-5.jpg,,,,,
260,185,"CRYSTAL, ","Pakistan, ",,"aquamarine,  ",,,,"crystal, ",,,,"24x16x13mm, ",,,"edges worn as if taken from a river, ",,,,,$21.00 ,,,,1,$17.50 ,$17.50 ,,,,,,aquamar-9.jpg,,,,,
260,186,"CRYSTAL, ","Pakistan, ",,"aquamarine,  ",,,,"crystal, ",,,,"13x20x13mm, ",,,"edges worn as if taken from a river, chip on 1 corner, ",,,,,$14.00 ,,,,1,$13.50 ,$13.50 ,,,,,,aquamar-10.jpg,,,,,
253,5222,"CRYSTAL, ","Pakistan, ",,"aquamarine,   ",,,,"faceted oval, ",,,,"8x10mm, ","0.54g (2.65 carats), ",,,,"lots of tiny black inclusions, ",,,$45.00 ,,,,1,$41.00 ,$41.00 ,,,,,,aquamar-6.jpg,,,,,
253,3377,"CRYSTAL, ","Pakistan, ",,"aquamarine,  ",,,,"faceted oval, ",,,,"8x10mm, ","~1.8 carats, ",,,,"nice clarity, a few inclusions, ",,,$45.00 ,,,,1,$41.00 ,$41.00 ,,,,,,aquamar-7.jpg,,,,,
259,3535,"CRYSTAL, ","Pakistan, ",,"emerald,  ",,,,"massy & crystals with quartz(in black tourmaline matrix), ","pretty nice looking, ",,,"85x50x30mm, ",,,,,,,,$145.00 ,,,,1,$136.00 ,$136.00 ,,,,,,emerald-6.jpg,,,,,
133,2547,"CRYSTAL, ","Pakistan, ", ,"emerald,  ",,"low grade, ","~80% emerald, ","mostly white with bits of green(in schist matrix), ",,,,"50x33x30mm, ",,,,,,,,$24.00 ,,,,1,$22.00 ,$22.00 ,,,,,,emerald-5.jpg,,,,,
265,5337,"CRYSTAL, ","Pakistan, ",,"emerald,  ",,,"decent color, internal irregularities, ","oval cut, ",,,,"10x6mm, ","0.37g (1.85 carats), ",,,,,,,$75.00 ,,,,1,$71.00 ,$71.00 ,,,,,,emerald-7.jpg,,,,,
267,5533,"CRYSTAL, ","Durango, Mexico, ",,"iceland spar,   "," nice yellow color, ",,"this rock doubles an image when used as a lens, ","optical calcite crystals, ","I guess its been cleaved into its excellent shape, superb clarity ",,,"44x30x25mm parallelogramic prism, ",,,,,,,,$36.00 ,,,,1,$33.00 ,$33.00 ,,,,,,icel-spar-2.jpg,,,,,
294,9300,"CRYSTAL, ","USA, California, Inyo Co.,  ",,"opal, ",,,,,,,,"13-16mm chunks, ",,,,,,,,$16.00 ,,,,10,$15.00 ,$150.00 ,,,,,,opal-1.jpg,,,,,
259,182,"CRYSTAL, ","Pakistan, ",,"ruby,  ",,,,"multiply terminated crystal, ",,"few other crystals here & there, ",,"32x27mm crystal on ~80x35x40mm whitish matrix, ",,,,,,,,$86.00 ,,,,1,$83.00 ,$83.00 ,,,,,,ruby-10.jpg,,,,,
253,6542,"CRYSTAL, ","Pakistan, ",,"ruby,  ",,,,"star (oval cabachon), ",,,,"7x9mm, ","0.37g (1.9 carats), ",,,"artificial, ","beautiful color, excellent stone ",,,$24.00 ,,,,1,$22.00 ,$22.00 ,,,,,,ruby-star-2.jpg,,,,,
253,6543,"CRYSTAL, ","Pakistan, ",,"ruby,  ",,,,"star (oval cabachon), ",,,,"7x9mm, ","0.41g (2 carats), ",,,"artificial, ","beautiful color, excellent stone ",,,$24.00 ,,,,1,$22.00 ,$22.00 ,,,,,,ruby-star-1.jpg,,,,,
253,6544,"CRYSTAL, ","Pakistan, ",,"ruby,   ",,,,"star (oval cabachon), ",,,,"9x12mm, ","0.74g (3.7 carats), ",,,"artificial, ","beautiful color, excellent stone ",,,$38.00 ,,,,1,$35.00 ,$35.00 ,,,,,,ruby-star-3.jpg,,,,,
253,7488,"CRYSTAL, ","Pakistan, ",,"sapphire,  ",,,,"star (oval cabachon), ",,,,"7x9mm, ","0.46g (2.3 carats), ",,,"artificial, ","beautiful color, excellent stone ",,,$45.00 ,,,,1,$42.00 ,$42.00 ,,,,,,sapphire-star-2.jpg,,,,,
253,7489,"CRYSTAL, ","Pakistan, ",,"sapphire,  ",,,,"star (oval cabachon), ",,,,"8x10mm, ","0.6g (3 carats), ",,,"artificial, ","beautiful color, excellent stone ",,,$45.00 ,,,,1,$42.00 ,$42.00 ,,,,,,sapphire-star-3.jpg,,,,,
253,4790,"CRYSTAL, ","Pakistan, ",,"sapphire,  ",,,,"necklace of faceted beads, ","low clarity, rough work, still, has nice color, ",,,"44 cm (9""), ",,,,,"3mm graduated to 5mm dia., ",,,$200.00 ,,,,1,$177.00 ,$177.00 ,,,,,,sapphire-necklace-1.jpg,,,,,
259,6523,"CRYSTAL, ","Pakistan, ",,"sapphire,  ",,,,"oval cut, ",,,,"6x4mm, ","0.14g (0.7 carat), ",,,,,,,$22.00 ,,,,1,$20.00 ,$20.00 ,,,,,,sapphire-5.jpg,,,,,
265,6633,"CRYSTAL, ","Pakistan, ",,"sapphire,  ",,,,"oval cut (pair), ",,,,"~6x3mm, ","0.23g (1.15 carats) total, ",,,," good for earrings, ",,,$66.00 ,,,,1,$58.00 ,$58.00 ,,,,,,sapphire-6.jpg,,,,,
